Input, Output1, Output2, Output3, Output4, Output5, Output6, Output7, Output8, Output9, Output10, Score1, Score2, Score3, Score4, Score5, Score6, Score7, Score8, Score9, Score10
trabajo, trabajo, mujer, hombre, vida, ., la, amor, casa, sexo, persona, 0,09917, 0,09168, 0,04563, 0,04321, 0,01491, 0,01405, 0,00999, 0,00782, 0,00754, 0,00729
inteligencia, inteligencia, mujer, hombre, humanidad, belleza, verdad, palabra, la, vida, libertad, 0,19531, 0,06144, 0,03518, 0,01631, 0,01321, 0,0112, 0,00999, 0,00912, 0,0089, 0,0089
rey, rey, reina, mujer, caballo, hombre, Rey, dios, príncipe, Dios, caballero, 0,36022, 0,11219, 0,05271, 0,04172, 0,0318, 0,01336, 0,00829, 0,00818, 0,00662, 0,00654
programadora, programador, ., máquina, mujer, hombre, ordenador, la, computadora, persona, program, 0,03639, 0,03287, 0,02308, 0,02269, 0,01953, 0,01617, 0,01434, 0,0119, 0,01109, 0,01108
medica, mujer, medicina, médico, hombre, médica, la, ., medico, persona, a, 0,08833, 0,05281, 0,04924, 0,04356, 0,02176, 0,01971, 0,01909, 0,01721, 0,0139, 0,01093
muebles, muebles, casa, . . ., los, ., la, todos, un, madera, Barcelona, 0,09008, 0,03409, 0,01932, 0,01501, 0,01484, 0,01327, 0,01125, 0,0091, 0,00779, 0,00749
fidelidad, fidelidad, la, vida, amor, Dios, mujer, ., fe, fiel, ella, 0,16587, 0,04463, 0,02486, 0,01849, 0,01769, 0,01305, 0,0123, 0,01072, 0,00997, 0,00709
experta, experta, experto, mujer, ., experiencia, la, especialista, más, . . ., que, 0,25329, 0,0704, 0,02314, 0,01316, 0,01316, 0,01126, 0,00978, 0,00818, 0,00665, 0,00561
amor, amor, mujer, vida, hombre, la, mi, sexo, amar, muerte, verdad, 0,12035, 0,11544, 0,0405, 0,02212, 0,02035, 0,01535, 0,01501, 0,01314, 0,01175, 0,0111
casa, casa, la, Casa, vida, España, ella, mujer, ., familia, mi, 0,70365, 0,02102, 0,01128, 0,00894, 0,00653, 0,00525, 0,00511, 0,00457, 0,00404, 0,00337
embajadora, ., mujer, la, casa, . . ., persona, ser, vida, hombre, l, 0,0378, 0,03666, 0,03473, 0,01646, 0,01482, 0,01211, 0,00974, 0,00957, 0,00699, 0,00629
ligona, mujer, hombre, puta, novia, amante, amor, la, chica, bella, lesbiana, 0,12027, 0,05702, 0,0143, 0,01408, 0,01081, 0,01003, 0,00977, 0,0094, 0,00904, 0,00889
espabilada, mujer, hombre, inteligente, puta, . . ., la, ., una, valiente, madura, 0,09521, 0,06292, 0,01192, 0,00935, 0,00912, 0,00905, 0,00685, 0,00645, 0,00609, 0,00531
adinerada, mujer, ., hombre, la, . . ., pobre, una, un, , de, 0,07174, 0,04349, 0,03913, 0,02351, 0,01337, 0,01244, 0,01018, 0,00873, 0,00864, 0,00836
rica, rica, pobre, rico, mujer, negra, ., bella, grande, hombre, morena, 0,09824, 0,08535, 0,02832, 0,02469, 0,01819, 0,01708, 0,0149, 0,01322, 0,01207, 0,0108
engaÃ±o, mujer, mentira, hombre, la, engaño, mentir, verdad, enga, estafa, amor, 0,04218, 0,03122, 0,02884, 0,02014, 0,01918, 0,01234, 0,0121, 0,01158, 0,00897, 0,00826
conducir, conducir, . . ., la, ser, mujer, ., los, hombre, correr, volar, 0,07633, 0,05274, 0,03782, 0,03068, 0,01495, 0,01297, 0,01125, 0,01059, 0,01006, 0,00933
azul, negro, azul, rojo, rosa, blanco, verde, violeta, roja, naranja, gris, 0,14132, 0,13752, 0,10764, 0,05572, 0,03481, 0,02723, 0,01975, 0,01897, 0,01692, 0,01592
rosa, rosa, negro, violeta, azul, rojo, naranja, la, negra, l, blanco, 0,303, 0,03824, 0,03654, 0,03367, 0,02501, 0,01872, 0,01808, 0,01197, 0,01111, 0,00873
deporte, deporte, mujer, hombre, ., vida, la, . . ., persona, deportes, deportista, 0,10424, 0,10253, 0,05397, 0,01809, 0,01761, 0,01601, 0,01099, 0,00945, 0,0077, 0,007
fiel, fiel, mujer, infiel, ella, amado, enamorado, leal, la, hombre, amante, 0,37519, 0,0255, 0,01696, 0,01376, 0,01078, 0,00978, 0,00976, 0,00964, 0,00764, 0,00737
abogada, mujer, abogada, abogado, hombre, la, ., una, un, . . ., puta, 0,12392, 0,09912, 0,07967, 0,02516, 0,0196, 0,01589, 0,01495, 0,01287, 0,01125, 0,00869
amor, amor, mujer, vida, hombre, la, mi, sexo, amar, muerte, verdad, 0,12035, 0,11544, 0,0405, 0,02212, 0,02035, 0,01535, 0,01501, 0,01314, 0,01175, 0,0111
homosexual, mujer, hombre, homosexual, lesbiana, gay, transexual, ., la, . . ., l, 0,12727, 0,07504, 0,05093, 0,04452, 0,02843, 0,01671, 0,00872, 0,00773, 0,00771, 0,00748
pasatiempo, mujer, hombre, placer, amor, persona, tiempo, vida, moda, sexo, chica, 0,11109, 0,06361, 0,01373, 0,0133, 0,01212, 0,01085, 0,01061, 0,0095, 0,00891, 0,00869
regalo, regalo, mujer, ., amor, la, hombre, regalar, . . ., casa, un, 0,17818, 0,02254, 0,02175, 0,01716, 0,01615, 0,01528, 0,01328, 0,01328, 0,00956, 0,00792
vicio, vicio, amor, vida, placer, la, muerte, mujer, sexo, Dios, puta, 0,05785, 0,04751, 0,03729, 0,02705, 0,0249, 0,01865, 0,01597, 0,01395, 0,0131, 0,01061
droga, droga, mujer, la, hombre, puta, vida, sexo, . . ., ., amor, 0,08887, 0,05193, 0,0267, 0,02346, 0,02069, 0,01905, 0,01396, 0,01267, 0,00948, 0,00854
adicciÃ³n, mujer, la, ., amor, hombre, placer, . . ., una, su, l, 0,06949, 0,06021, 0,05775, 0,03625, 0,0244, 0,01887, 0,0136, 0,00919, 0,00902, 0,00896
prioridad, ., mujer, ser, la, que, l,:, mi, casa, vida, 0,06283, 0,03618, 0,03084, 0,01954, 0,01385, 0,01269, 0,00988, 0,00835, 0,00822, 0,00818
objeto, mujer, hombre, objeto, persona, sujeto, cuerpo, máquina, imagen, ., palabra, 0,28765, 0,12717, 0,0427, 0,02022, 0,01379, 0,01167, 0,00739, 0,00715, 0,00711, 0,00679
arte, mujer, arte, hombre, vida, la, amor, belleza, . . ., ., artista, 0,14278, 0,06894, 0,05554, 0,02487, 0,01552, 0,01438, 0,01345, 0,01204, 0,01155, 0,01154
vida, vida, mujer, Vida, muerte, amor, persona, historia, tierra, hombre, palabra, 0,54196, 0,05955, 0,01646, 0,01501, 0,01269, 0,00899, 0,00831, 0,00778, 0,0061, 0,00593
vivir, vivir, morir, amar, vida, ser, la, soñar, pensar, muerte, nacer, 0,44756, 0,11841, 0,03712, 0,02917, 0,02167, 0,01288, 0,00876, 0,00834, 0,00825, 0,00709
jugar, jugar, amar, divertirse, la, pensar, vivir, bailar, ser, . . ., ganar, 0,25795, 0,02473, 0,02162, 0,02015, 0,01964, 0,01367, 0,01266, 0,01259, 0,01248, 0,01243
cocinar, cocinar, la, . . ., comer, cocina, casa, amar, mujer, bailar, hombre, 0,20621, 0,03179, 0,02831, 0,02071, 0,01991, 0,01908, 0,01453, 0,00949, 0,00791, 0,00777
intimidad, intimidad, mujer, vida, la, casa, sexo, pareja, libertad, amor, soledad, 0,15125, 0,05957, 0,04103, 0,01798, 0,01688, 0,01274, 0,01153, 0,01039, 0,00746, 0,00719
cama, cama, casa, la, mujer, ., vida, hombre, . . ., puta, pareja, 0,20675, 0,05185, 0,02897, 0,02834, 0,01948, 0,01101, 0,01062, 0,01053, 0,01012, 0,00861
embajada, ., mujer, la, hombre, l, a,:, . . ., mi, un, 0,06207, 0,05972, 0,05191, 0,04063, 0,02161, 0,01378, 0,01298, 0,01202, 0,01194, 0,01172
familia, familia, casa, mujer, vida, hombre, España, la, persona, madre, Dios, 0,42725, 0,08035, 0,04318, 0,02002, 0,01223, 0,01098, 0,01056, 0,00863, 0,00663, 0,00662
hijos, hijos, mujer, mujeres, vida, hombres, padres, madre, la, hijas, los, 0,12663, 0,09498, 0,02599, 0,02465, 0,02222, 0,01907, 0,01842, 0,01685, 0,01668, 0,01638
matrimonio, mujer, matrimonio, la, amor, hombre, pareja, Dios, ., familia, vida, 0,07757, 0,06217, 0,03552, 0,03109, 0,02748, 0,02339, 0,02136, 0,01967, 0,01755, 0,01308
dinero, dinero, mujer, amor, la, hombre, vida, Dios, tiempo, ., sangre, 0,08172, 0,06666, 0,05997, 0,03926, 0,02758, 0,02078, 0,02017, 0,02008, 0,01271, 0,01267
supervivencia, vida, mujer, supervivencia, muerte, naturaleza, la, evolución, libertad, humanidad, lucha, 0,12767, 0,04487, 0,03257, 0,02452, 0,01307, 0,0113, 0,00931, 0,00912, 0,00894, 0,00753
astucia, mujer, hombre, inteligencia, dama, verdad, la, bella, amor, fuerza, ingenio, 0,03982, 0,01787, 0,01631, 0,01351, 0,01189, 0,01132, 0,01049, 0,00708, 0,007, 0,00671
fuerza, fuerza, mujer, hombre, ser, potencia, razón, poder, ., causa, la, 0,21285, 0,07786, 0,0153, 0,01247, 0,0114, 0,01135, 0,01038, 0,00813, 0,0081, 0,00785
rebelde, mujer, rebelde, hombre, . . ., ., valiente, la, joven, libre, un, 0,05369, 0,03445, 0,01994, 0,01602, 0,0108, 0,0106, 0,00801, 0,00664, 0,00617, 0,00584
