-2,313874942906044311e-05
-2,518080717186851479e-05
-1,976473641307814694e-05
-3,871872626223207998e-05
-1,981766717716525343e-05
-1,308753910660057159e-05
-2,658419459445495158e-05
-1,162274746314513023e-05
-8,133769782720175177e-06
-6,395367358611516459e-06
-3,895800899567486680e-05
-1,589232347234111276e-05
-2,641809923528986001e-06
-2,721793569263302858e-05
-3,194199893412877936e-05
-2,328901412083018006e-05
-2,676910173909614218e-05
-3,115142469482118110e-05
-2,402205492095496516e-05
-1,875527168852724881e-05
-2,151863392301957961e-05
-3,339512484358178991e-05
-1,641028310214647925e-05
-1,682394379371250200e-05
-2,749822010649520456e-05
-1,939097804661355564e-05
-1,846632647963857024e-05
-1,970338200344026077e-05
-3,706259809218627623e-05
-2,309116213743206755e-05
-2,764787549700622608e-05
-2,494507090158471917e-05
-2,679248014627012844e-05
-3,002677095244774236e-05
-1,910748879941725451e-05
-2,646254545831639121e-05
-1,048354389805250617e-05
2,726846260333330521e-07
-1,955024955762489825e-05
-2,766194991467079908e-05
-3,090534743324655685e-05
-1,900300879102782272e-05
-2,418566738909792095e-05
-1,564424234880727656e-05
-2,167036535361607848e-05
-2,643280837017715279e-05
-2,438420792262983673e-05
-2,246868053400204773e-05
-1,701416041444450114e-05
-2,636800043916825908e-05
-2,239440722647584024e-05
-2,811603828493567346e-05
-5,067238250812836535e-06
-1,832860054603953126e-05
-2,855242756481766466e-05
-8,574995205092094007e-06
-8,799939745862386993e-06
-4,169300122661463720e-05
-3,383182267508186785e-05
-3,351130552382736600e-05
-1,226533157154348638e-05
-3,000666105526449034e-05
-6,805380360251355338e-06
-1,508694454337611803e-05
-2,616873184546686176e-05
-4,392341959177513584e-05
7,314765035872452560e-05
-9,964195036001139710e-06
-1,765183439382880803e-05
-3,540139604473075145e-05
-3,387655999507881730e-05
-2,821877275297393815e-05
-8,845606977002811158e-06
-3,180884122829504224e-05
-3,251856228066562072e-05
-3,144887162206669231e-05
-3,182564762914687862e-05
